set of enemies,enemy_weights,seed_setting,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,4,33.517884,16.546911,6.079227,7.615669,-19.542433,-93.719399,-115.887592,25.530457,29.543042,18.854434,3.821439,6.564247,-7.980038,-19.557679,-44.473299,7.705505
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,5,33.517884,18.839247,10.181542,6.224171,-19.542433,-93.719399,-115.887592,25.530457,29.543042,20.636752,6.473073,5.520138,-7.980038,-17.569115,-33.823446,5.17672
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,6,37.592071,23.241823,17.145943,4.77605,-19.542433,-93.719399,-115.887592,25.530457,33.235588,24.061437,15.624379,3.515029,0.567127,-14.596763,-22.348008,5.216694
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,7,37.592071,24.36362,19.683933,4.201424,-19.542433,-93.719399,-115.887592,25.530457,33.235588,24.862875,15.624379,3.127886,0.567127,-13.836635,-23.063431,5.082664
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,8,37.592071,25.674486,20.178509,4.069013,-19.542433,-93.719399,-115.887592,25.530457,33.235588,25.607826,15.624379,3.203205,0.567127,-14.025729,-23.063431,5.242802
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,9,37.592071,28.023097,23.755067,3.267374,-19.542433,-93.719399,-115.887592,25.530457,33.235588,26.93075,15.624379,2.636692,-4.505454,-14.027352,-21.121327,3.481193
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,23:09,10,37.592071,29.222935,24.083236,3.029287,-19.542433,-93.719399,-115.887592,25.530457,33.235588,27.661595,15.624379,2.688369,0.18786,-13.935666,-21.121327,4.126485
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,0,18.527014,-5.894168,-15.849977,5.127128,-11.436762,-86.970642,-115.28299,30.418897,21.7348,-5.434786,-16.425559,5.638625,-14.099351,-85.065859,-118.720421,34.078852
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,1,18.527014,-2.498759,-5.903906,5.708499,-11.436762,-86.970642,-115.28299,30.418897,21.7348,-1.754576,-6.147529,6.819339,-9.322662,-73.378108,-104.89611,34.458817
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,2,22.477168,5.931655,-0.913723,6.381835,-11.436762,-86.970642,-115.28299,30.418897,22.219952,7.501792,-2.956866,6.634027,-7.689828,-31.537005,-73.782138,15.099018
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,3,22.477168,9.707448,4.020395,5.06044,-11.436762,-86.970642,-115.28299,30.418897,22.219952,11.607742,-0.092277,5.415355,-7.444505,-26.543694,-48.679723,10.556984
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,4,35.458422,14.197568,5.86699,7.208044,-11.436762,-86.970642,-115.28299,30.418897,34.304598,13.485385,-2.057889,7.853528,-6.078036,-26.378199,-48.679723,11.978731
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,5,37.629703,18.523473,10.310671,6.849236,-11.436762,-86.970642,-115.28299,30.418897,34.304598,16.065495,1.992283,7.377956,0.770188,-23.131871,-48.679723,11.41324
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,6,37.629703,20.4549,13.843208,6.059921,-11.436762,-86.970642,-115.28299,30.418897,34.304598,18.470157,7.032054,6.737526,0.770188,-19.606024,-40.533855,10.374405
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,7,37.629703,23.019975,17.153145,5.775913,-11.436762,-86.970642,-115.28299,30.418897,34.304598,20.663374,9.374185,6.315082,0.770188,-19.009452,-40.533855,10.59443
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,8,37.629703,23.894428,18.115424,5.506154,-11.436762,-86.970642,-115.28299,30.418897,34.304598,21.055062,9.374185,6.394587,0.770188,-17.610569,-40.533855,10.560636
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,9,37.629703,24.351329,18.746879,5.295972,-11.436762,-86.970642,-115.28299,30.418897,34.304598,21.583751,9.374185,6.26031,0.770188,-16.039511,-40.533855,10.6465
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,420,28:59,10,37.629703,25.421079,19.287091,4.970485,-11.436762,-86.970642,-115.28299,30.418897,34.304598,23.235907,12.09306,5.548682,0.770188,-14.117064,-40.533855,8.658755
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,0,15.129545,-6.268605,-21.185532,5.621329,-9.916405,-91.244751,-115.182223,26.441037,13.801356,-6.684425,-24.103949,5.682855,-24.560815,-91.786681,-118.59699,26.825915
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,1,15.129545,-2.670656,-5.902457,4.14707,-9.916405,-91.244751,-115.182223,26.441037,13.801356,-3.288017,-6.511596,4.054647,-21.584596,-80.938826,-108.969345,26.461333
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,2,15.455024,3.107886,-1.772275,4.412832,-9.916405,-91.244751,-115.182223,26.441037,15.751511,2.2154,-6.342342,6.19554,-16.034967,-50.537663,-92.663497,23.320465
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,3,32.4133,8.133735,2.865276,5.847294,-9.916405,-91.244751,-115.182223,26.441037,30.643761,9.184728,-5.365729,7.331556,-5.333039,-34.273394,-67.24851,14.069715
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,4,32.4133,12.056359,5.863506,5.796583,-9.916405,-91.244751,-115.182223,26.441037,30.643761,12.180333,-3.505358,7.209652,-5.333039,-31.297402,-67.383786,15.327937
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,5,32.4133,14.954169,8.405035,5.469359,-9.916405,-91.244751,-115.182223,26.441037,30.643761,15.091619,2.945146,6.715548,-3.951515,-24.612398,-67.383786,14.523701
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,6,32.4133,16.867625,11.460968,4.444548,-9.916405,-91.244751,-115.182223,26.441037,30.643761,16.523572,3.714768,6.362252,-3.951515,-23.892567,-67.383786,13.832252
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,7,32.4133,19.252739,15.075664,4.18339,-9.916405,-91.244751,-115.182223,26.441037,30.643761,18.927341,3.714768,5.455486,-5.333039,-21.223029,-65.031615,10.833803
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,8,32.4133,20.412124,16.699032,3.772321,-9.916405,-91.244751,-115.182223,26.441037,30.643761,21.036826,7.825354,4.116726,0.582202,-17.241455,-40.464939,8.522664
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,9,32.4133,21.481042,17.1489,3.81039,-9.916405,-91.244751,-115.182223,26.441037,30.643761,21.420862,7.825354,4.036063,0.582202,-16.042419,-40.464939,7.975087
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,35:19,10,32.4133,22.645203,17.158239,3.59369,-9.916405,-91.244751,-115.182223,26.441037,30.643761,21.586962,7.825354,4.127017,0.582202,-14.102627,-40.464939,7.739852
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,0,33.352485,-5.20328,-16.401368,7.845351,-4.667147,-86.9314,-115.182223,32.090753,19.690733,-4.870551,-14.018768,6.299348,-6.433744,-86.304062,-118.59699,34.421077
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,1,33.352485,-3.408991,-6.130508,7.253578,-4.667147,-86.9314,-115.182223,32.090753,19.690733,-3.905649,-6.382612,6.008466,-6.433744,-91.653581,-111.808266,30.811883
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,2,33.352485,-2.374504,-5.8285,7.260852,-4.667147,-86.9314,-115.182223,32.090753,19.690733,-2.710333,-5.991441,6.087492,-6.433744,-76.978415,-108.105325,34.150387
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,3,33.352485,1.648601,-5.609287,7.172232,-4.667147,-86.9314,-115.182223,32.090753,19.690733,1.753344,-8.221933,6.949853,-1.486306,-41.403848,-80.0,22.78499
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,4,33.352485,6.287958,0.500451,6.804714,-4.667147,-86.9314,-115.182223,32.090753,30.341907,6.547541,-7.15027,7.159123,-1.486306,-30.923489,-69.698828,15.455979
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,5,33.352485,9.767686,4.521298,6.19331,-4.667147,-86.9314,-115.182223,32.090753,30.341907,10.602484,-1.374669,5.862087,-6.433744,-26.272546,-56.972244,11.050798
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,6,33.352485,13.201017,6.118185,6.110915,-4.667147,-86.9314,-115.182223,32.090753,30.341907,11.86622,-1.374669,6.897961,-6.433744,-25.188089,-51.887505,10.601603
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,7,33.352485,17.682075,11.91365,4.688159,-4.667147,-86.9314,-115.182223,32.090753,30.341907,17.830941,3.534505,5.612871,-6.321851,-20.839078,-39.998838,8.23105
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,8,33.352485,20.546721,16.301275,4.088688,-4.667147,-86.9314,-115.182223,32.090753,30.341907,21.385599,6.800914,4.660913,-6.021335,-18.77204,-39.998838,7.448771
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,9,37.694899,23.482923,18.375937,4.812345,-4.667147,-86.9314,-115.182223,32.090753,32.855844,23.631423,15.865845,3.874679,0.149241,-14.743663,-38.891083,6.757855
1 2 3 4 5 6 7 8,0.1 0.1 0.1 0.1 0.05 0.25 0.05 0.25,120,41:35,10,39.859189,24.832715,19.55058,4.981827,-4.667147,-86.9314,-115.182223,32.090753,37.633416,24.571019,16.419416,4.217707,0.25387,-12.662886,-24.58106,5.622405
