set of enemies,enemy_weights,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,10,34.708455,24.594876,20.47672,4.368654,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,11,34.708455,25.870761,20.882479,4.09714,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,12,47.168646,27.620537,21.997541,4.883577,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,13,47.168646,28.644295,23.70335,4.838768,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,14,48.015811,29.872322,24.753913,5.448801,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,15,48.015811,30.94312,24.771991,5.351533,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,16,48.015811,32.065019,25.448787,4.829152,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,17,48.015811,32.599005,26.798601,4.637577,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,18,48.015811,34.95415,29.962969,4.474417,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,19,49.239397,36.443931,31.339239,4.685302,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,20,49.239397,37.601768,32.875434,4.628071,-7.917384,-85.910383,-116.592961,32.525583,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,06:24,validation,0,0.0,0,0.0,0,0.0,0,0.0,37.831089,30.313651,24.521341,2.851497,3.719854,-9.812729,-20.320948,4.723482
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,0,13.313749,-4.281803,-14.394279,5.61786,-5.172635,-80.241375,-115.986977,35.67707,15.864668,-5.227289,-18.79594,5.569003,-15.094648,-81.448807,-118.59699,35.057986
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,1,13.313749,-0.574373,-6.20495,5.886803,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,2,20.437089,4.817444,-1.293448,5.446506,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,3,31.398904,8.801553,2.067806,6.685876,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,4,31.398904,12.020185,3.505717,7.087688,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,5,31.398904,14.71984,9.72875,6.448495,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,6,31.398904,17.313952,10.230256,7.171049,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,7,31.398904,18.648998,10.422157,6.731314,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,8,31.398904,21.691213,13.545283,5.241227,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,9,35.380273,23.983574,18.723216,4.827499,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,10,45.836136,26.107281,18.812268,5.652128,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,11,45.836136,27.863446,20.882479,4.726216,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,12,45.836136,29.621276,24.755018,4.517858,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,13,45.836136,30.373256,24.834426,4.154576,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,14,45.836136,30.98124,26.141944,3.873763,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,15,45.836136,31.463781,28.230624,3.761449,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,16,45.836136,32.090588,28.258634,4.01336,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,17,45.836136,32.559563,28.404309,3.802861,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,18,45.836136,32.909606,28.900992,3.705126,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,19,45.836136,34.000598,30.297878,3.699433,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
1 2 3 4 5 6 7 8,0.05 0.2 0.2 0.05 0.05 0.2 0.05 0.2,12:52,20,45.836136,34.640001,30.675919,3.567919,-5.172635,-80.241375,-115.986977,35.67707,0,0.0,0,0.0,0,0.0,0,0.0
